"Life expectancy and other elements of the complete life table, three-year estimates, Canada, all provinces except Prince Edward Island 1 2 3 4"
"Frequency: Annual"
"Table: 13-10-0114-01"
"Release date: 2024-12-04"
"Geography: Canada, Province or territory"
""
""

"Geography 5","Canada 6"
"Sex","Females"
"Element","Life expectancy (in years) at age x (ex) 7"
"Age group","2021 to 2023"
,"Number"
"0 years","83.79"
"1 year","83.13"
"2 years","82.15"
"3 years","81.16"
"4 years","80.17"
"5 years","79.18"
"6 years","78.19"
"7 years","77.20"
"8 years","76.20"
"9 years","75.21"
"10 years","74.22"
"11 years","73.22"
"12 years","72.23"
"13 years","71.24"
"14 years","70.24"
"15 years","69.25"
"16 years","68.27"
"17 years","67.28"
"18 years","66.30"
"19 years","65.32"
"20 years","64.34"
"21 years","63.37"
"22 years","62.39"
"23 years","61.42"
"24 years","60.45"
"25 years","59.47"
"26 years","58.50"
"27 years","57.53"
"28 years","56.56"
"29 years","55.60"
"30 years","54.63"
"31 years","53.66"
"32 years","52.70"
"33 years","51.73"
"34 years","50.77"
"35 years","49.81"
"36 years","48.85"
"37 years","47.89"
"38 years","46.93"
"39 years","45.97"
"40 years","45.01"
"41 years","44.06"
"42 years","43.10"
"43 years","42.15"
"44 years","41.20"
"45 years","40.25"
"46 years","39.31"
"47 years","38.36"
"48 years","37.42"
"49 years","36.49"
"50 years","35.55"
"51 years","34.62"
"52 years","33.69"
"53 years","32.77"
"54 years","31.85"
"55 years","30.93"
"56 years","30.02"
"57 years","29.12"
"58 years","28.22"
"59 years","27.32"
"60 years","26.44"
"61 years","25.55"
"62 years","24.68"
"63 years","23.81"
"64 years","22.95"
"65 years","22.10"
"66 years","21.26"
"67 years","20.42"
"68 years","19.60"
"69 years","18.78"
"70 years","17.98"
"71 years","17.19"
"72 years","16.41"
"73 years","15.64"
"74 years","14.89"
"75 years","14.15"
"76 years","13.43"
"77 years","12.72"
"78 years","12.03"
"79 years","11.35"
"80 years","10.69"
"81 years","10.05"
"82 years","9.43"
"83 years","8.83"
"84 years","8.25"
"85 years","7.69"
"86 years","7.16"
"87 years","6.65"
"88 years","6.16"
"89 years","5.70"
"90 years","5.26"
"91 years","4.85"
"92 years","4.47"
"93 years","4.12"
"94 years","3.79"
"95 years","3.49"
"96 years","3.22"
"97 years","2.98"
"98 years","2.76"
"99 years","2.56"
"100 years","2.38"
"101 years","2.22"
"102 years","2.08"
"103 years","1.95"
"104 years","1.83"
"105 years","1.73"
"106 years","1.64"
"107 years","1.57"
"108 years","1.50"
"109 years","1.45"
"110 years and over","1.42"




Footnotes:
1,"For Canada and all provinces, except Prince Edward Island. For these regions, single-year complete life tables are also available and can be found in table 13-10-0837. For Prince Edward Island and the territories, three-year abridged life tables can be found in table 13-10-0140."
2,"Population estimates are final intercensal up to 2020, final postcensal in 2021, updated postcensal in 2022 and 2023 and preliminary postcensal for 2024. For more details, please refer to the document Methods for Constructing Life Tables for Canada, Provinces and Territories (Statistics Canada catalogue number 84-538)."
3,"Life tables for the periods 2020/2022 and 2021/2023 are considered “preliminary”. These tables will be updated at a later time to take into account deaths that could have occurred but have not yet been recorded (late registrations)."
4,"In comparison to single-year life tables, three-year life tables provide more robust estimates of mortality indicators and time series that are less prone volatility on a short-term horizon (see table 13-10-0114). For these reasons, they are preferable for comparisons between regions or analysis of long-term mortality trends, particularly in less populated provinces. However, single-year life tables may be better suited for granular analysis of temporal variations and to single out the most recent trends."
5,"Complete life tables (by single years of age) are available for Canada as a whole and for nine provinces: Newfoundland and Labrador, Nova Scotia, New Brunswick, Quebec, Ontario, Manitoba, Saskatchewan, Alberta and British Columbia. For Prince Edward Island, Yukon, the Northwest Territories and Nunavut, abridged life tables (by 5-year age groups) were computed. The population sizes of this province and the three territories were too small to allow the calculation of complete life tables with accuracy. The abridged life tables can be found in table 13-10-0140."
6,"Data on deaths that occurred in Yukon and deaths of residents of Yukon that occurred in other provinces or territories are not available from 2017 to 2022. Owing to that lack, life tables have not been calculated for Yukon for reference periods 2015/2017 to 2021/2023. For all years in which death data are available, they are included in life table calculations for Canada."
7,"Average number of years remaining to be lived by persons surviving to age x if those persons would experience, during their lifetimes, the mortality observed over the reference period."



"How to cite: Statistics Canada. Table 13-10-0114-01  Life expectancy and other elements of the complete life table, three-year estimates, Canada, all provinces except Prince Edward Island"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310011401
