"Life expectancy and other elements of the complete life table, three-year estimates, Canada, all provinces except Prince Edward Island 1 2 3 4"
"Frequency: Annual"
"Table: 13-10-0114-01"
"Release date: 2024-12-04"
"Geography: Canada, Province or territory"
""
""

"Geography 5","Canada 6"
"Sex","Males"
"Element","Life expectancy (in years) at age x (ex) 7"
"Age group","2021 to 2023"
,"Number"
"0 years","79.25"
"1 year","78.63"
"2 years","77.65"
"3 years","76.67"
"4 years","75.68"
"5 years","74.69"
"6 years","73.70"
"7 years","72.71"
"8 years","71.71"
"9 years","70.72"
"10 years","69.73"
"11 years","68.73"
"12 years","67.74"
"13 years","66.75"
"14 years","65.76"
"15 years","64.77"
"16 years","63.78"
"17 years","62.81"
"18 years","61.83"
"19 years","60.87"
"20 years","59.91"
"21 years","58.95"
"22 years","57.99"
"23 years","57.04"
"24 years","56.09"
"25 years","55.14"
"26 years","54.19"
"27 years","53.25"
"28 years","52.30"
"29 years","51.36"
"30 years","50.42"
"31 years","49.49"
"32 years","48.55"
"33 years","47.62"
"34 years","46.69"
"35 years","45.76"
"36 years","44.84"
"37 years","43.91"
"38 years","42.98"
"39 years","42.06"
"40 years","41.14"
"41 years","40.22"
"42 years","39.30"
"43 years","38.38"
"44 years","37.46"
"45 years","36.55"
"46 years","35.64"
"47 years","34.73"
"48 years","33.83"
"49 years","32.93"
"50 years","32.03"
"51 years","31.14"
"52 years","30.25"
"53 years","29.37"
"54 years","28.50"
"55 years","27.63"
"56 years","26.76"
"57 years","25.91"
"58 years","25.06"
"59 years","24.21"
"60 years","23.38"
"61 years","22.55"
"62 years","21.73"
"63 years","20.92"
"64 years","20.12"
"65 years","19.33"
"66 years","18.55"
"67 years","17.78"
"68 years","17.02"
"69 years","16.27"
"70 years","15.54"
"71 years","14.82"
"72 years","14.11"
"73 years","13.42"
"74 years","12.74"
"75 years","12.07"
"76 years","11.43"
"77 years","10.79"
"78 years","10.18"
"79 years","9.58"
"80 years","9.00"
"81 years","8.44"
"82 years","7.90"
"83 years","7.38"
"84 years","6.88"
"85 years","6.40"
"86 years","5.94"
"87 years","5.50"
"88 years","5.08"
"89 years","4.69"
"90 years","4.33"
"91 years","3.99"
"92 years","3.68"
"93 years","3.40"
"94 years","3.14"
"95 years","2.90"
"96 years","2.69"
"97 years","2.51"
"98 years","2.34"
"99 years","2.18"
"100 years","2.05"
"101 years","1.92"
"102 years","1.81"
"103 years","1.72"
"104 years","1.63"
"105 years","1.55"
"106 years","1.49"
"107 years","1.43"
"108 years","1.38"
"109 years","1.34"
"110 years and over","1.31"




Footnotes:
1,"For Canada and all provinces, except Prince Edward Island. For these regions, single-year complete life tables are also available and can be found in table 13-10-0837. For Prince Edward Island and the territories, three-year abridged life tables can be found in table 13-10-0140."
2,"Population estimates are final intercensal up to 2020, final postcensal in 2021, updated postcensal in 2022 and 2023 and preliminary postcensal for 2024. For more details, please refer to the document Methods for Constructing Life Tables for Canada, Provinces and Territories (Statistics Canada catalogue number 84-538)."
3,"Life tables for the periods 2020/2022 and 2021/2023 are considered “preliminary”. These tables will be updated at a later time to take into account deaths that could have occurred but have not yet been recorded (late registrations)."
4,"In comparison to single-year life tables, three-year life tables provide more robust estimates of mortality indicators and time series that are less prone volatility on a short-term horizon (see table 13-10-0114). For these reasons, they are preferable for comparisons between regions or analysis of long-term mortality trends, particularly in less populated provinces. However, single-year life tables may be better suited for granular analysis of temporal variations and to single out the most recent trends."
5,"Complete life tables (by single years of age) are available for Canada as a whole and for nine provinces: Newfoundland and Labrador, Nova Scotia, New Brunswick, Quebec, Ontario, Manitoba, Saskatchewan, Alberta and British Columbia. For Prince Edward Island, Yukon, the Northwest Territories and Nunavut, abridged life tables (by 5-year age groups) were computed. The population sizes of this province and the three territories were too small to allow the calculation of complete life tables with accuracy. The abridged life tables can be found in table 13-10-0140."
6,"Data on deaths that occurred in Yukon and deaths of residents of Yukon that occurred in other provinces or territories are not available from 2017 to 2022. Owing to that lack, life tables have not been calculated for Yukon for reference periods 2015/2017 to 2021/2023. For all years in which death data are available, they are included in life table calculations for Canada."
7,"Average number of years remaining to be lived by persons surviving to age x if those persons would experience, during their lifetimes, the mortality observed over the reference period."



"How to cite: Statistics Canada. Table 13-10-0114-01  Life expectancy and other elements of the complete life table, three-year estimates, Canada, all provinces except Prince Edward Island"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310011401
